search_query,max results,title,channel,description,url
cocomelon cartoon,50,Humpty Dumpty Grocery Store | CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,Look at Humpty Dumpty bounce and roll! Nina goes on an epic chase after losing her plastic toy egg from the vending machine in ...,"{'kind': 'youtube#video', 'videoId': 'hxOApe1P9dM'}"
cocomelon cartoon,50,Wheels on the Bus | @CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,Bounce along in the bus all over town with this favorite nursery rhyme!,"{'kind': 'youtube#video', 'videoId': 'e_04ZrNroTo'}"
cocomelon cartoon,50,12345 Once I Caught A Fish Alive (2025) 🐟 CoComelon Nursery Rhymes &amp; Kids Songs | After School Club,Moonbug Kids - After School Club,Welcome to the Moonbug Kids After School Club! Kick back and relax with some fun-filled content from your FAVORITE Moonbug ...,"{'kind': 'youtube#video', 'videoId': 'VISa8jBKuks'}"
cocomelon cartoon,50,JJ Doctor Check-Up Song + MORE CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,"If you have a boo boo, it's time to visit the doctor! Learning how the body works and the best ways to keep it healthy is so important ...","{'kind': 'youtube#video', 'videoId': 'fAfljp9dovE'}"
cocomelon cartoon,50,Happy &amp; You Know It | CoComelon Animal Time - Learning with Animals | Nursery Rhymes for Kids,CoComelon Animal Time - Learning with Animals,"JJ, YoYo and their animal friends have a fun time blowing bubbles, JJ finds himself having “big feelings.” Thankfully, YoYo and his ...","{'kind': 'youtube#video', 'videoId': 'x7T4xOaiyX0'}"
cocomelon cartoon,50,Baby Shark | @CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,"Subscribe for new videos every week: https://www.youtube.com/c/Cocomelon?sub_confirmation=1 Lyrics: Baby Shark, do do do ...","{'kind': 'youtube#video', 'videoId': '020g-0hhCAU'}"
cocomelon cartoon,50,The Colors Song (with Popsicles) | CoComelon | Moonbug Kids - Color Time,Learn ABC & 123 - Moonbug Kids,"It's the perfect day for rainbow popsicles, but what ingredients do we need? Sing along and help TomTom, Yoyo, and JJ make ...","{'kind': 'youtube#video', 'videoId': 'k9YiFYPLh1Y'}"
cocomelon cartoon,50,Can you spin with JJ? CoComelon #Shorts,Cocomelon - Nursery Rhymes,JJ and Daddy learn to spin! Following in dad's footsteps is always fun! #cocomelon #nurseryrhymes Subscribe for new videos ...,"{'kind': 'youtube#video', 'videoId': 'TODdgN_TfZw'}"
cocomelon cartoon,50,Rabbit Went Over The Mountain | Nursery Rhymes &amp; Kids Songs | NuNu Tv #childrensongs #toddlersongs,NuNu Tv - Nursery Rhymes ,Subscribe For New Kids Songs Every Week ▻▻ https://www.youtube.com/c/NuNuTVNurseryRhymes?sub_confirmation=1 ...,"{'kind': 'youtube#video', 'videoId': 'ibpP7w5MY_o'}"
cocomelon cartoon,50,Watch CoComelon become PUMPKINMELON 🎃! Happy Halloween! #cocomelon #shorts,Cocomelon - Nursery Rhymes,It's time for some HALLOWEEN CRAFTS with CoComelon! Watch the CoComelon be TRANSFORMED into a Halloween Melon!,"{'kind': 'youtube#video', 'videoId': '6dbF0yGc0BI'}"
