search_query,max results,title,channel,description,url
kid rhyme,50,Nursery Rhymes for Kids | Songs Compilation - Itsy Bitsy Spider + More Children Songs,Twinkle Little Songs - Nursery Rhymes,"Itsy Bitsy Spider and many more children songs! Enjoy this compilation of fun kids' songs and nursery rhymes for children, brought ...","{'kind': 'youtube#video', 'videoId': '5gZOYKHXwyQ'}"
kid rhyme,50,Wheels on the Bus | @CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,Bounce along in the bus all over town with this favorite nursery rhyme!,"{'kind': 'youtube#video', 'videoId': 'e_04ZrNroTo'}"
kid rhyme,50,5 Little Ducks(Learn Colors Song) | Lalafun Nursery Rhymes &amp; Kids Songs,Lalafun - Nursery Rhymes,Meet our 5 colorful ducks in their new duck house! Perfect for little babies to learn colors and sing along! Lyrics: yellow...,"{'kind': 'youtube#video', 'videoId': 'N5YSbaUl9Y4'}"
kid rhyme,50,Humpty Dumpty Grocery Store | CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,Look at Humpty Dumpty bounce and roll! Nina goes on an epic chase after losing her plastic toy egg from the vending machine in ...,"{'kind': 'youtube#video', 'videoId': 'hxOApe1P9dM'}"
kid rhyme,50,Rabbit Went Over The Mountain | Nursery Rhymes &amp; Kids Songs | NuNu Tv #childrensongs #toddlersongs,NuNu Tv - Nursery Rhymes ,Subscribe For New Kids Songs Every Week ▻▻ https://www.youtube.com/c/NuNuTVNurseryRhymes?sub_confirmation=1 ...,"{'kind': 'youtube#video', 'videoId': 'ibpP7w5MY_o'}"
kid rhyme,50,Name the Color | Nursery Rhymes &amp; Kids Songs | NuNu Tv  #childrensongs #toddlersongs #babysongs,NuNu Tv - Nursery Rhymes ,Subscribe For New Kids Songs Every Week ▻▻ https://www.youtube.com/c/NuNuTVNurseryRhymes?sub_confirmation=1 ...,"{'kind': 'youtube#video', 'videoId': 'ZesVTSG-z_4'}"
kid rhyme,50,Train Choo Choo Song | Newborn Baby Songs &amp; Nursery Rhymes,Little LaLa's Nursery Rhymes,Sing along and learn with Lalafun to the new 'Train Choo Choo Song'! Train Choo Choo Song | Newborn Baby Songs & Nursery ...,"{'kind': 'youtube#video', 'videoId': 'kWeBeop7gW0'}"
kid rhyme,50,Humpty Dumpty Nursery Rhyme -  Learn From Your Mistakes!,ChuChu TV Nursery Rhymes & Kids Songs,Get the cute Baby Taku's Toy Bestie Plush at the ChuChu TV Store. It's great for cuddles and fun for your kids! Buy yours today!,"{'kind': 'youtube#video', 'videoId': 'AIIj0mBX1jU'}"
kid rhyme,50,The Cows in the Cornfield Rhyme Song | Popular Nursery Rhyme | Educational Kids Songs,Dumboo,"Sing along to ""The Cows in the Cornfield,"" a delightful nursery rhyme that brings the countryside to life! Join the cows as they ...","{'kind': 'youtube#video', 'videoId': 'RPVpS3OMFVY'}"
kid rhyme,50,Five Little Monkeys Jumping On The Bed | Children Nursery Rhyme | Flickbox Kids Songs,Little BoBo Nursery Rhymes - FlickBox Studios,"FlickBox presents 5 Little Monkeys, a popular children's rhyme about five naughty monkeys who jump on the bed and get into ...","{'kind': 'youtube#video', 'videoId': 'b0NHrFNZWh0'}"
kid rhyme,50,Five Little Ducks + More | Kids Songs and Nursery Rhymes | Super Simple Songs,Super Simple Songs - Kids Songs,"Get the Super Simple App! ▻ http://bit.ly/TheSuperSimpleApp Five little ducks went out one day, and you'll never guess what ...","{'kind': 'youtube#video', 'videoId': 'LrAtBtQnvCE'}"
kid rhyme,50,Top 25 Most Popular Nursery Rhymes I Kids Rhymes With Actions I Johnny Johnny Yes Papa #kidsvideo,Kids Carnival,Top 25 Most Popular Nursery Rhymes I Kids Rhymes With Actions I Johnny Johnny Yes Papa #kidsvideo 00:13 - Twinkle Twinkle ...,"{'kind': 'youtube#video', 'videoId': 'ntZTXEBVx7g'}"
kid rhyme,50,Old MacDonald Song with Safari Animals | Lalafun Nursery Rhymes &amp; Kids Songs,Lalafun - Nursery Rhymes,"Old MacDonald meets safari animals like lions, zebras, and elephants on his wild farm! Lyrics: ""Old MacDonald had a farm ...","{'kind': 'youtube#video', 'videoId': 'drkOBuiGPCM'}"
kid rhyme,50,आहा टमाटर - Aaha Tamatar Bade Mazedar - Nursery Rhymes and Kids Song in Hindi  Anaya Rhymes #cartoon,RIYA KIDS TV,आहा टमाटर - Aaha Tamatar Bade Mazedar - Nursery Rhymes and Kids Song in Hindi Anaya Rhymes #cartoon #riyakidstv ...,"{'kind': 'youtube#video', 'videoId': '6rRRAVSilss'}"
kid rhyme,50,Daddy Finger Daddy Finger | Nursery Rhymes &amp; Kids Songs | NuNu Tv  #childrensongs #toddlersongs,NuNu Tv - Nursery Rhymes ,Subscribe For New Kids Songs Every Week ▻▻ https://www.youtube.com/c/NuNuTVNurseryRhymes?sub_confirmation=1 ...,"{'kind': 'youtube#video', 'videoId': '69oBaY-PBOY'}"
kid rhyme,50,Monster Police 🧟🚨 | Kids Songs &amp; Nursery Rhymes | Baby Blue,Minibus - Nursery Rhymes & Kids Songs,"Baby Blue will take your little ones on magical adventures with friendly monsters, thrilling challenges, and magical moments ...","{'kind': 'youtube#video', 'videoId': '8anZWMbSv5U'}"
kid rhyme,50,"ChuChu TV Classics - Head, Shoulders, Knees &amp; Toes Exercise Song + More Popular Baby Nursery Rhymes",ChuChu TV Nursery Rhymes & Kids Songs,Get the cute Baby Taku's Toy Bestie Plush at the ChuChu TV Store. It's great for cuddles and fun for your kids! Buy yours today!,"{'kind': 'youtube#video', 'videoId': 'VXokId-v7oU'}"
kid rhyme,50,Good manner | Nursery Rhymes &amp; Toddlers Songs | NuNu Tv #childrensongs #toddlersongs #singalong,NuNu Tv - Nursery Rhymes ,Subscribe For New Kids Songs Every Week ▻▻ https://www.youtube.com/c/NuNuTVNurseryRhymes?sub_confirmation=1 ...,"{'kind': 'youtube#video', 'videoId': 'fAM-llmD7ZY'}"
kid rhyme,50,Circle Square &amp; Triangle | Nursery Rhymes for toddlers | NuNu Tv  #childrensongs #toddlersongs,NuNu Tv - Nursery Rhymes ,Subscribe For New Kids Songs Every Week ▻▻ https://www.youtube.com/c/NuNuTVNurseryRhymes?sub_confirmation=1 ...,"{'kind': 'youtube#video', 'videoId': 'OSa2NBaFbZk'}"
kid rhyme,50,Old MacdDonald Had A Farm + More Kidsberry Nursery Rhymes &amp; Baby Songs,Kidsberry - Nursery Rhymes ♫ ,"Watch our latest compilation ""Old MacDonald Had a Farm"" which is a traditional children's song and nursery rhyme about a farmer ...","{'kind': 'youtube#video', 'videoId': '6FVLPV4HmBo'}"
kid rhyme,50,Catch the Lollipop | Finger Family Song | Lalafun Nursery Rhymes &amp; Kids Songs,Lalafun - Nursery Rhymes,"Baby catches lollipops! Sing along with the Finger Family! Lyrics: Daddy finger, Daddy finger, where are you? Here I am ...","{'kind': 'youtube#video', 'videoId': '-MZy8FqUw9c'}"
kid rhyme,50,Who Took The Cookie? | Nursery Rhyme | Super Simple Songs,Super Simple Songs - Kids Songs,"Get the Super Simple App! ▻ http://bit.ly/TheSuperSimpleApp Enjoy ""Who Took The Cookie?"", a classic rhyme with original music ...","{'kind': 'youtube#video', 'videoId': 'OzKY5YHnOTg'}"
kid rhyme,50,BINGO | Nursery Rhymes For Kids | Super Simple Songs,Super Simple Songs - Kids Songs,"Get the Super Simple App! ▻ http://bit.ly/TheSuperSimpleApp We've added a Super Simple twist to ""BINGO"" by adding actions ...","{'kind': 'youtube#video', 'videoId': '9mmF8zOlh_g'}"
kid rhyme,50,Ten Little Buses | Nursery Rhymes &amp; Toddler Song | NuNu Tv  #childrensongs  #singalong #babysong,NuNu Tv - Nursery Rhymes ,Subscribe For New Kids Songs Every Week ▻▻ https://www.youtube.com/c/NuNuTVNurseryRhymes?sub_confirmation=1 ...,"{'kind': 'youtube#video', 'videoId': 'LwBcZeaLx5c'}"
kid rhyme,50,Baby Shark | @CoComelon Nursery Rhymes &amp; Kids Songs,Cocomelon - Nursery Rhymes,"Subscribe for new videos every week: https://www.youtube.com/c/Cocomelon?sub_confirmation=1 Lyrics: Baby Shark, do do do ...","{'kind': 'youtube#video', 'videoId': '020g-0hhCAU'}"
