search_query,max results,title,channel,description,url
youtube kids,100,Nastya and Friends learn about the dangers of sweets,Like Nastya,Kids end up in the hospital and learn about the dangers of eating too many sweets. This educational video is perfect for teaching ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '6VlJX_hMupI'}"
youtube kids,100,FAILED LEGO ITEMS...,TD BRICKS,Submit a banger video idea here: https://forms.gle/GXK3uwLSuGKPEJzc9 To see what I do behind the scenes or outside my ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'B98H1DZwcBk'}"
youtube kids,100,I Ran Away With My Best Friend,Jordan Matter,"If you want a chance to win something purchased in this video, send us a message on our texting platform (it's free): ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'N8Kgz2wn6f4'}"
youtube kids,100,Oliver and Fun-Filled Car Adventure!,✿ Kids Diana Show,"Join Oliver and Friends on a fun-filled car adventure! Mom and Children drive to the trampoline park, but they make some stops ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '9OwQmD8BHrw'}"
youtube kids,100,How to Sneak Candy Into Jail | Cool Parenting Hacks &amp; Funny Situations by Crafty Hacks,Crafty Hacks,Zoey is accidently thrown into jail and a kid named Ben is in charged of supervising her. Watch this fun and crazy video where you ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '0BNh-bcgk1E'}"
youtube kids,100,Chris and Magic Faucet Adventure - Kids toy stories,Chris kids show,Chris and Magic Faucet Adventure - Kids toy stories 00:00 Chris and Magic Faucet Adventure - Kids toy stories 05:44 Chris is ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'S84fHUZdOGs'}"
youtube kids,100,Peppa Pig Tales 🍫Chocolate Fondue FUN⛲ BRAND NEW Peppa Pig Episodes,Peppa Pig - Official Channel,Peppa and her family are camping and enjoying fondue over the campfire...but it turns into a cheesy mess! ⚡️ Watch More ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '8Ft0gaYP9VQ'}"
youtube kids,100,Five Skeletons Went Out on Halloween Night | Spooky Scary Skeletons Kids Songs @hooplakidz,HooplaKidz - Official Nursery Rhymes Channel,Midnight Magic begins as Five Crazy Skeletons Went Out One Night and have fun. Watch this Scary Skeleton Dance Songs along ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'fcWRDoFcKkY'}"
youtube kids,100,"Best Nursery Rhymes for Kids | Train Song, Bedtime &amp; Twinkle Twinkle",GiGi Kids Tube,"Fun Kids Songs Compilation | Chuu Chuu Train, Bedtime & Twinkle Twinkle | Sing Along! Get ready for a fun-filled adventure with ...","https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': 'sqb6_gI-l-Y'}"
youtube kids,100,Cardboard SCHOOL Adventure for kids,✿ Kids Diana Show,Fun adventures at Cardboard School with Roma and friends. 00:00 Cardboard School Adventure for kids 06:10 Magical School ...,"https://www.youtube.com/watch?v={'kind': 'youtube#video', 'videoId': '-5krrl0eiKc'}"
