,url,min
0,https://www.youtube.com/watch?v=l8hbW-QmDQk,0
18,https://www.youtube.com/watch?v=tKiscvf28kE,0
17,https://www.youtube.com/watch?v=KoL-_XwBYuQ,0
15,https://www.youtube.com/watch?v=tW7w0m6_-pU,0
14,https://www.youtube.com/watch?v=LZ44cMkS0bA,0
13,https://www.youtube.com/watch?v=eExl2KCQRp8,0
12,https://www.youtube.com/watch?v=Q7PhF7cxvVc,0
11,https://www.youtube.com/watch?v=-9EJgYVyKWc,0
10,https://www.youtube.com/watch?v=OxKRJkaEtJc,0
16,https://www.youtube.com/watch?v=G356vjZkYuo,0
8,https://www.youtube.com/watch?v=S8ht0tjOois,0
7,https://www.youtube.com/watch?v=69oBaY-PBOY,0
4,https://www.youtube.com/watch?v=bOUSESgORbw,0
3,https://www.youtube.com/watch?v=mCH8_SgZiHw,0
2,https://www.youtube.com/watch?v=fyNJXipL-ME,0
1,https://www.youtube.com/watch?v=b6M7jqz6Jmg,0
9,https://www.youtube.com/watch?v=6qWMVkDhe4I,0
24,https://www.youtube.com/watch?v=0r1PiebhM2c,1
23,https://www.youtube.com/watch?v=G_oJWzl3-g0,1
22,https://www.youtube.com/watch?v=5YVuqYaNyCo,1
21,https://www.youtube.com/watch?v=7e7EKdQG9ok,1
19,https://www.youtube.com/watch?v=PtRtvLYRGtk,1
5,https://www.youtube.com/watch?v=-EAS2pWyAZU,1
20,https://www.youtube.com/watch?v=LrM62pv56o0,1
31,https://www.youtube.com/watch?v=LUvBx-ErXa0,2
25,https://www.youtube.com/watch?v=AIIj0mBX1jU,2
26,https://www.youtube.com/watch?v=b0NHrFNZWh0,2
27,https://www.youtube.com/watch?v=8y2mgyI6kus,2
28,https://www.youtube.com/watch?v=MDJTLL9Tl5U,2
29,https://www.youtube.com/watch?v=Kxhn8UBJ4nM,2
30,https://www.youtube.com/watch?v=prCvGKoybNE,2
32,https://www.youtube.com/watch?v=QNw8MlFaT3k,3
6,https://www.youtube.com/watch?v=VC1F_gICGMM,4
